Kod;Nazwa;2017;2018;2019;2020;2021;
3009000;"Powiat kolski";4035,50;4183,24;4492,22;4895,57;5346,81;
3010000;"Powiat koniński";3439,22;3608,15;3795,47;4184,77;4457,33;
3011000;"Powiat kościański";3718,79;4085,02;4383,66;4582,74;5127,41;
3012000;"Powiat krotoszyński";3478,90;3722,41;3670,08;4020,71;4285,52;
3013000;"Powiat leszczyński";4213,65;4304,66;4578,34;4953,38;5274,63;
3014000;"Powiat międzychodzki";3623,06;3880,47;4097,52;4519,70;4891,36;
3015000;"Powiat nowotomyski";3989,83;4319,19;4434,29;4807,23;5215,49;
3016000;"Powiat obornicki";4101,05;4259,36;4484,38;4854,35;5236,25;
3017000;"Powiat ostrowski";3764,42;4080,99;4303,12;4542,09;4944,70;
3018000;"Powiat ostrzeszowski";3713,45;3905,96;4195,18;4488,82;4936,59;
3019000;"Powiat pilski";4006,13;4383,06;4628,67;4928,72;5371,98;
3020000;"Powiat pleszewski";3621,86;3869,29;4220,36;4471,48;4921,89;
3021000;"Powiat poznański";4018,59;4241,36;4624,14;4776,27;5054,35;
3022000;"Powiat rawicki";3442,45;3737,75;3976,06;4357,75;4698,39;
3023000;"Powiat słupecki";3564,41;3862,22;4166,29;4690,36;4990,83;
3024000;"Powiat szamotulski";4482,73;4680,51;5000,11;5274,57;5726,53;
3025000;"Powiat średzki";4102,74;4440,62;4718,06;5004,44;5473,17;
3026000;"Powiat śremski";3639,72;3861,64;4154,88;4480,42;4935,64;
3027000;"Powiat turecki";3391,97;3579,72;3862,59;4266,25;4404,21;
3028000;"Powiat wągrowiecki";3679,03;3912,65;4177,82;4491,29;4879,33;
3029000;"Powiat wolsztyński";3517,60;3856,99;4122,57;4489,74;4899,60;
3030000;"Powiat wrzesiński";3928,55;4246,77;4534,94;4779,96;5142,47;
3031000;"Powiat złotowski";3397,81;3553,95;3823,24;4041,17;4301,59;
3061000;"Powiat m.Kalisz";3889,60;4124,83;4430,37;4718,01;5158,07;
3062000;"Powiat m.Konin";3930,94;4215,68;4512,50;4858,06;5369,58;
3063000;"Powiat m.Leszno";3745,94;4083,89;4271,73;4824,14;5000,33;
3064000;"Powiat m.Poznań";5062,37;5355,57;5713,03;6104,97;6662,69;
3201000;"Powiat białogardzki";3756,70;4093,01;4287,47;4672,61;5146,91;
3202000;"Powiat choszczeński";3775,03;3951,70;4160,89;4599,57;4981,01;
3203000;"Powiat drawski";3402,35;3751,47;3982,85;4416,33;4789,08;
3204000;"Powiat goleniowski";4220,58;4574,30;4775,51;5102,94;5439,72;
3205000;"Powiat gryficki";3500,89;3776,55;4052,14;4388,97;4745,48;
3206000;"Powiat gryfiński";3848,29;4170,81;4465,67;4898,41;5297,93;
3207000;"Powiat kamieński";3525,59;3706,74;4034,80;4304,58;4623,87;
3208000;"Powiat kołobrzeski";3751,26;3988,20;4331,04;4575,02;5000,76;
3209000;"Powiat koszaliński";3677,01;3919,20;4204,61;4616,89;5100,02;
3210000;"Powiat myśliborski";3810,17;3956,46;4206,22;4503,53;4927,15;
3211000;"Powiat policki";4624,12;4908,94;5169,21;5535,45;5844,37;
3212000;"Powiat pyrzycki";3612,65;3923,66;4134,08;4428,81;5265,00;
3213000;"Powiat sławieński";3472,79;3770,34;4010,20;4350,66;4747,64;
3214000;"Powiat stargardzki";3817,60;4104,49;4460,30;4750,37;5126,31;
3215000;"Powiat szczecinecki";3880,91;4185,96;4452,12;4827,82;5255,69;
3216000;"Powiat świdwiński";3470,74;3703,91;3984,99;4339,70;4704,50;
3217000;"Powiat wałecki";3761,59;4045,65;4363,14;4678,73;5224,57;
3218000;"Powiat łobeski";3662,40;4083,38;4321,83;4713,45;4962,09;
3261000;"Powiat m.Koszalin";3999,59;4184,46;4625,35;4973,23;5496,02;
3262000;"Powiat m.Szczecin";4732,93;5007,48;5408,91;5695,84;6244,67;
3263000;"Powiat m.Świnoujście";4536,08;4779,09;5222,62;5517,68;5564,41;
